2015-09-01T02:00:00, Slot A, heavy traffic, other, Slot B
2015-09-02T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, won`t start, other, heavy traffic
2015-09-03T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, won`t start, other, heavy traffic
2015-09-04T02:00:00, Slot A, other, heavy traffic, won`t start, Slot B, other, heavy traffic,
2015-09-08T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, delayed by school, other, heavy traffic
2015-09-09T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, delayed by school, heavy traffic, mechanical problem
2015-09-10T02:00:00, Slot A, heavy traffic, weather conditions, other, Slot B, heavy traffic, mechanical problem, other
2015-09-11T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2015-09-14T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, other, heavy traffic, mechanical problem
2015-09-15T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem,
2015-09-16T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2015-09-17T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2015-09-18T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2015-09-21T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, other, heavy traffic, mechanical problem
2015-09-22T02:00:00, Slot A, heavy traffic, other, problem run, Slot B, other, mechanical problem, heavy traffic
2015-09-23T02:00:00, Slot A, heavy traffic, other, won`t start, Slot B, other
2015-09-24T02:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, other, won`t start, flat tire
2015-09-25T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, won`t start
2015-09-28T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2015-09-29T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2015-09-30T02:00:00, Slot A, heavy traffic, other, weather conditions, Slot B, other, mechanical problem, won`t start
2015-10-01T02:00:00, Slot A, heavy traffic, other, problem run, Slot B, heavy traffic, other, won`t start
2015-10-02T02:00:00, Slot A, heavy traffic, weather conditions, other, Slot B, heavy traffic, weather conditions, other
2015-10-05T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, other, heavy traffic, won`t start
2015-10-06T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, mechanical problem, other, heavy traffic
2015-10-07T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2015-10-08T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, other, heavy traffic, mechanical problem
2015-10-09T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2015-10-13T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2015-10-14T02:00:00, Slot A, heavy traffic, other, problem run, Slot B, other, late return from field trip, heavy traffic
2015-10-15T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, late return from field trip, heavy traffic, mechanical problem
2015-10-16T02:00:00, Slot A, other, heavy traffic, won`t start, Slot B, other
2015-10-19T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2015-10-20T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, mechanical problem, heavy traffic, other
2015-10-21T02:00:00, Slot A, heavy traffic, other, won`t start, Slot B, heavy traffic, other, mechanical problem
2015-10-22T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2015-10-23T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, late return from field trip, heavy traffic, other
2015-10-26T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, late return from field trip
2015-10-27T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2015-10-28T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, other
2015-10-29T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, won`t start
2015-10-30T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, other
2015-11-02T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, won`t start, heavy traffic, other
2015-11-03T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, mechanical problem, heavy traffic, accident
2015-11-04T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2015-11-05T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2015-11-06T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, other, late return from field trip, mechanical problem
2015-11-09T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, other, heavy traffic, late return from field trip
2015-11-10T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, weather conditions
2015-11-12T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, other, mechanical problem, late return from field trip
2015-11-13T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, late return from field trip
2015-11-16T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, other, heavy traffic, mechanical problem
2015-11-17T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2015-11-18T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, late return from field trip
2015-11-19T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, late return from field trip
2015-11-20T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2015-11-23T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, flat tire
2015-11-24T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, late return from field trip
2015-11-25T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, late return from field trip
2015-11-27T01:00:00, Slot A, heavy traffic, Slot B,
2015-11-30T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2015-12-01T01:00:00, Slot A, heavy traffic, weather conditions, other, Slot B, heavy traffic, late return from field trip, mechanical problem
2015-12-02T01:00:00, Slot A, heavy traffic, other, weather conditions, Slot B, heavy traffic, other, late return from field trip
2015-12-03T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, other
2015-12-04T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, won`t start
2015-12-07T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2015-12-08T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2015-12-09T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, other
2015-12-10T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, mechanical problem
2015-12-11T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2015-12-14T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, late return from field trip
2015-12-15T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, late return from field trip
2015-12-16T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, late return from field trip
2015-12-17T01:00:00, Slot A, heavy traffic, other, problem run, Slot B, heavy traffic, late return from field trip, other
2015-12-18T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, late return from field trip, other, heavy traffic
2015-12-21T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2015-12-22T01:00:00, Slot A, heavy traffic, other, weather conditions, Slot B, heavy traffic, other, late return from field trip
2015-12-23T01:00:00, Slot A, heavy traffic, other, weather conditions, Slot B, heavy traffic, other, weather conditions
2015-12-24T01:00:00, Slot A, heavy traffic, Slot B, weather conditions
2015-12-28T01:00:00, Slot A, other, mechanical problem, heavy traffic, Slot B, other
2015-12-29T01:00:00, Slot A, weather conditions, mechanical problem, Slot B, other,
2015-12-30T01:00:00, Slot A, heavy traffic, Slot B, heavy traffic
2015-12-31T01:00:00, Slot A, mechanical problem, Slot B, heavy traffic
