2015-08-27T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, other, heavy traffic, won`t start
2015-09-03T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, delayed by school, other, heavy traffic
2015-09-10T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2015-09-17T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, other, heavy traffic, mechanical problem
2015-09-24T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2015-10-01T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2015-10-08T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, other, heavy traffic, mechanical problem
2015-10-15T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2015-10-22T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, late return from field trip
2015-10-29T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2015-11-05T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2015-11-12T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2015-11-19T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, late return from field trip
2015-11-26T01:00:00, Slot A, heavy traffic, other, weather conditions, Slot B, heavy traffic, other, late return from field trip
2015-12-03T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2015-12-10T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2015-12-17T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, late return from field trip
2015-12-24T01:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, other, heavy traffic, weather conditions
2015-12-31T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, mechanical problem, heavy traffic, other
2016-01-07T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2016-01-14T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, won`t start
2016-01-21T01:00:00, Slot A, weather conditions, heavy traffic, other, Slot B, heavy traffic, mechanical problem, other
2016-01-28T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2016-02-04T01:00:00, Slot A, heavy traffic, weather conditions, other, Slot B, heavy traffic, mechanical problem, other
2016-02-11T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, late return from field trip
2016-02-18T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2016-02-25T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2016-03-03T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, other, heavy traffic, mechanical problem
2016-03-10T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, late return from field trip
2016-03-17T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, other
2016-03-24T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2016-03-31T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, late return from field trip
2016-04-07T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, mechanical problem
2016-04-14T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, other
2016-04-21T02:00:00, Slot A, heavy traffic, other, won`t start, Slot B, heavy traffic, late return from field trip, mechanical problem
2016-04-28T02:00:00, Slot A, heavy traffic, other, weather conditions, Slot B, heavy traffic, late return from field trip, other
2016-05-05T02:00:00, Slot A, heavy traffic, other, weather conditions, Slot B, heavy traffic, late return from field trip, mechanical problem
2016-05-12T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, other
2016-05-19T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, late return from field trip, heavy traffic, other
2016-05-26T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, other
2016-06-02T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, late return from field trip, heavy traffic, other
2016-06-09T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, mechanical problem
2016-06-16T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2016-06-23T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2016-06-30T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, mechanical problem, other, heavy traffic
2016-07-07T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, won`t start, other
2016-07-14T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2016-07-21T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2016-07-28T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, won`t start
2016-08-04T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, won`t start
2016-08-11T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, won`t start
2016-08-18T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, accident,
2016-08-25T02:00:00, Slot A, heavy traffic, Slot B, flat tire
2016-09-01T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, won`t start
2016-09-08T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2016-09-15T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2016-09-22T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
